"","Var1","Freq","last_updated","ttl","data.stations.name","data.stations.physical_configuration","data.stations.lat","data.stations.lon","data.stations.altitude","data.stations.address","data.stations.post_code","data.stations.capacity","data.stations.groups","data.stations.obcn","data.stations.cross_street"
"1","114",4,1566907718,30,"114 - DELLA PAOLERA","SMARTLITMAPFRAME",-34.5949745,-58.3722554,0,"Della Paolera 297, Carlos M. & Av. Leandro N. Alem","11111",30,"RETIRO",NA,"Della Paolera 297, Carlos M. & Av. Leandro N. Alem"
"2","14",4,1566907718,30,"014 - Pacifico","SMARTLITMAPFRAME",-34.577424,-58.426387,0,"Santa Fe Av. & Bullrich, Int. Av.","11111",30,"PALERMO",NA,NA
"3","152",5,1566907718,30,"152 - JULIETA LANTERI","SMARTLITMAPFRAME",-34.6181645,-58.3596311,0,"Vera Peñaloza, Rosario 599 & Lanteri Julieta","11111",19,"PUERTO MADERO",NA,"Vera Peñaloza, Rosario & Lanteri Julieta"
"4","173",3,1566907718,30,"173 - PLAZA CECILIA GRIERSON","SMARTLITMAPFRAME",-34.6222964,-58.3751607,0,"Av. San Juan 632","11111",16,"SAN TELMO",NA,"Av. San Juan 632 & Chacabuco"
"5","193",3,1566907718,30,"193 - ARENALES Y AGUERO","SMARTLITMAPFRAME",-34.5908626,-58.4061652,0,"Arenales y Aguero","1111",20,"RECOLETA",NA,"2882 Arenales & Aguero"
"6","296",4,1566907718,30,"293 - PEDERNERA","SMARTLITMAPFRAME",-34.632961,-58.462547,0,"Pedernera 381","11111",16,"FLORES",NA,NA
"7","325",3,1566907718,30,"342 - SAENZ","SMARTLITMAPFRAME",-34.645252,-58.416547,0,"3935 Del Tigre","1111",16,"NUEVA POMPEYA",NA,NA
"8","333",4,1566907718,30,"203 - Beiro","SMARTLITMAPFRAME",-34.6004332,-58.5036238,0,"Beiro 3572, CABA","1111",20,"DEVOTO",NA,NA
"9","35",3,1566907718,30,"035 - INGENIERO BUTTY","SMARTLITMAPFRAME",-34.5964246,-58.371847,0,"Ing. E. Butty 291","11111",30,"RETIRO",NA,"Ing. E. Butty 291 &  Av Leandro N.  Alem"
"10","352",4,1566907718,30,"236 - Guemes","SMARTLITMAPFRAME",-34.5807104,-58.4248291,0,"4718 Guemes","1111",28,"PALERMO",NA,NA
"11","393",15,1566907718,30,"300 - Jose Artigas","SMARTLITMAPFRAME",-34.590848,-58.468535,0,"524 Balboa","1111",12,"PATERNAL",NA,NA
"12","408",3,1566907718,30,"337 - UTN","SMARTLITMAPFRAME",-34.6600076,-58.4683699,0,"Mozart 2400","1111",20,"VILLA LUGANO",NA,NA
"13","55",5,1566907718,30,"055 - Bouchard","SMARTLITMAPFRAME",-34.5994122,-58.36966404,0,"Viamonte 101","11111",20,"SAN NICOLAS",NA,"Viamonte 101& Bouchard"
"14","7",3,1566907718,30,"007 - OBELISCO","SMARTLITMAPFRAME",-34.606498,-58.381098,0,"CARLOS PELEGRINI 215","11111",16,"SAN NICOLAS",NA,"CARLOS PELEGRINI 215"
"15","98",6,1566907718,30,"098 - Belgrano y roca","SMARTLITMAPFRAME",-34.6127689,-58.3769407,0,"Belgrano y Roca","11111",16,"MONSERRAT",NA,NA
