"","Var1","Freq"
"1","101",2
"2","105",1
"3","112",1
"4","114",4
"5","122",1
"6","126",1
"7","128",1
"8","14",4
"9","143",1
"10","15",1
"11","151",1
"12","152",5
"13","155",1
"14","158",1
"15","161",1
"16","168",1
"17","170",1
"18","173",3
"19","176",1
"20","191",1
"21","193",3
"22","194",1
"23","21",1
"24","223",1
"25","227",1
"26","229",1
"27","238",2
"28","241",1
"29","249",1
"30","26",1
"31","268",1
"32","272",1
"33","283",2
"34","296",4
"35","299",2
"36","31",1
"37","323",1
"38","325",3
"39","330",1
"40","333",4
"41","336",2
"42","340",1
"43","341",1
"44","343",2
"45","349",1
"46","35",3
"47","350",1
"48","351",1
"49","352",4
"50","363",1
"51","376",1
"52","389",1
"53","391",1
"54","393",15
"55","407",2
"56","408",3
"57","409",1
"58","419",2
"59","420",2
"60","423",1
"61","429",1
"62","442",1
"63","5",1
"64","50",2
"65","55",5
"66","58",2
"67","7",3
"68","71",1
"69","77",1
"70","83",2
"71","87",1
"72","89",1
"73","9",1
"74","96",2
"75","98",6
